"registrační číslo","název","adresa","kraj","druh činnosti","kapacita","GPS","datum registrace"
"CZ 21C08149","Německý ovčák v nouzi, z.s.","Kruhová 566, 25168 Kamenice","Středočeský kraj","útulek pro zájmová zvířata","pes 20","49°54'17.550""N,14°35'4.650""E","22.11.2017"
"CZ 21C08138","Naděje pro čtyři packy z.s.","Bystřice 64E, 25751 Opřetice","Středočeský kraj","útulek pro zájmová zvířata","pes 30, kočka 30","49°43'12.526""N,14°40'40.891""E","22.11.2017"
"CZ 21C08127","Kočičí útulek ALFONZ ÚMONÍN, z.s.","Úmonín č. p. 1, 28546 Úmonín","Středočeský kraj","útulek pro zájmová zvířata","kočka 40","49°53'21.444""N,15°16'16.585""E","22.11.2017"
"CZ 21C08015","Pozor kočka!","Do Klecánek 24, Klecánky, 25067 Klecany","Středočeský kraj","útulek pro zájmová zvířata","kočka 50","50°10'22.238""N,14°24'23.885""E","04.01.2018"
"CZ 21C07777","Psí a kočičí záležitosti z.s.","Stará Huť č. p. 189, 26202 Stará Huť","Středočeský kraj","útulek pro zájmová zvířata","kočka 50, pes 15","49°46'51.644""N,14°11'49.155""E","04.01.2018"
"CZ 21C07744","Voříškov z.s.","Zbuzany, 25225 Zbuzany","Středočeský kraj","útulek pro zájmová zvířata","pes 18","49°59'58.782""N,14°16'37.309""E","09.01.2018"
"CZ 21C07610","DOG POINT","Lhotky č. p. 60, 28163 Malotice","Středočeský kraj","útulek pro zájmová zvířata","pes 20","49°57'5.080""N,14°56'21.568""E","11.12.2017"
"CZ 21C06248","Chlupáči v nouzi, o.s.","Lounín č. p. 34, 26701 Tmaň","Středočeský kraj","útulek pro zájmová zvířata","kočka 120, pes 2","49°54'14.573""N,14°0'49.121""E","22.11.2017"
"CZ 21C06158","Město Benátky nad Jizerou","Hájovna 52, Benátky nad Jizerou II, 29471 Benátky nad Jizerou","Středočeský kraj","útulek pro zájmová zvířata","pes 5","50°16'15.858""N,14°48'55.598""E","30.11.2017"
"CZ 21C05540","Občanské sdružení Zvířecí pohoda","Bzová č. p. 45, 26743 Bzová","Středočeský kraj","útulek pro zájmová zvířata","pes 1","49°53'53.750""N,13°51'36.895""E","04.01.2018"
"CZ 21C05191","Městský útulek pro psy Lesan","Kralupy nad Vltavou, 27801 Kralupy nad Vltavou","Středočeský kraj","útulek pro zájmová zvířata","pes 25","50°13'54.978""N,14°19'31.793""E","06.03.2018"
"CZ 21C05180","Útulek pro opuštěná zvířata Neratovice","Neratovice č. p. 326, 27711 Neratovice","Středočeský kraj","útulek pro zájmová zvířata","pes 16","50°15'57.54""N,14°31'26.17""E","05.03.2018"
"CZ 21C05078","O.S. Srdcem pro kočky","Vrbičany č. p. 18, 27374 Vrbičany","Středočeský kraj","útulek pro zájmová zvířata","pes 3, kočka 95","50°18'27.82""N,13°59'39.66""E","14.12.2017"
"CZ 21C04819","Dog center Ajax, spol. s r.o.","Volenice č. p. 61, 26272 Volenice","Středočeský kraj","útulek pro zájmová zvířata","pes 20","49°32'40.214""N,13°53'8.040""E","18.12.2017"
"CZ 21C03313","Domov Fauny s.r.o.","Hrachov č. p. 13, 26256 Svatý Jan","Středočeský kraj","útulek pro zájmová zvířata","koně 8, pes 35","49°39'53.08""N,14°17'35.38""E","12.12.2017"
"CZ 21C03099","Psí útulek","Brankovická 1419, Kolín V, 28002 Kolín","Středočeský kraj","útulek pro zájmová zvířata","pes 28","50°2'41.039""N,15°11'18.489""E","14.12.2017"
"CZ 21C02345","Město Sadská","Sadská, Pod Bory, 28912 Sadská","Středočeský kraj","útulek pro zájmová zvířata","pes 6","50°9'9.498""N,14°58'35.662""E","06.03.2018"
"CZ 21C00758","Eugenie Sychrovská","Na Bouchalce 398, 27343 Buštěhrad","Středočeský kraj","útulek pro zájmová zvířata","pes 120","50°9'43.154""N,14°12'9.399""E","04.01.2018"
"CZ 21C00668","Město Nymburk - Záchytné kotce pro nalezené psy","Nymburk parc. č. 955/4, Nymburk","Středočeský kraj","útulek pro zájmová zvířata","pes 13","50°10'37.660""N,15°2'0.514""E","05.03.2018"
"CZ 21C00411","Technické služby Města Příbrami, psí útulek Maják","Lazec č. p. 45, 26101 Příbram","Středočeský kraj","útulek pro zájmová zvířata","pes 30","49°40'39.50""N,13°57'46.08""E","04.01.2018"
"CZ 21C00310","MVE Plus, s.r.o.","Na Brunclíku (bez č.p.), Karlov, 28401 Karlov","Středočeský kraj","útulek pro zájmová zvířata","pes 20","49°56'56.79""N,15°16'21.36""E","01.12.2017"
"CZ 21C00152","Ing. Luděk Březina","Dukel. hrdinů 2569, Rakovník II, 26901 Rakovník","Středočeský kraj","útulek pro zájmová zvířata","pes 30","50°6'37.959""N,13°42'36.631""E","04.01.2018"
"CZ 11C02524","Depozitum u Šimona, z.s.","K Měchurce 872/8, Košíře, 15800 Praha 5","Hlavní město Praha","útulek pro zájmová zvířata","kočka 301","50°3'58.840""N,14°22'59.162""E","19.07.2024"
"CZ 11C02131","Shih-tzu v nouzi, z.s.","K Verneráku 56/9, Kunratice, 14800 Praha 4","Hlavní město Praha","útulek pro zájmová zvířata","pes 10","50°0'52.901""N,14°29'10.365""E","01.02.2018"
"CZ 11C02119","ANIMAL´S OS, zapsaný spolek","Ke Krči 1038/5, Braník, 14700 Praha 4","Hlavní město Praha","útulek pro zájmová zvířata","kočka 45","50°2'19.692""N,14°24'39.498""E","08.01.2018"
"CZ 11C02108","Dočasky De De, z.s.","Štúrova 1417/2, Krč, 14200 Praha 4","Hlavní město Praha","útulek pro zájmová zvířata","kočka 30, pes 40","50°1'13.066""N,14°27'10.953""E","08.01.2018"
"CZ 11C01893","Záchranná stanice pro odchycená a opuštěná zvířata, odchytová služba Lary pro Prahu a Středočeský kraj","Veleňská, Třeboradice, 19600 Praha 9","Hlavní město Praha","útulek pro zájmová zvířata","pes 20","50°10'37.274""N,14°31'41.304""E","08.01.2018"
"CZ 11C01815","Azyl opuštěných zvířat  Libeň","Jeřábová 1, 190 00 Praha 9","Hlavní město Praha","útulek pro zájmová zvířata","pes 15","50°5'59.217""N,14°30'28.68""E","30.11.2017"
"CZ 11C01286","Útulek Šanta kočičí, z.s.","Mezi vodami 1560/33, Modřany, 14300 Praha 4","Hlavní město Praha","útulek pro zájmová zvířata","kočka 50","50°0'53.60""N,14°24'3.04""E","04.01.2018"
"CZ 11C00241","Útulek pro opuštěná zvířata Městské policie hl. m. Prahy - Útulek Měcholupy (KOČKY)","Dolnoměcholupská 58/27, Dolní Měcholupy, 11101 Praha 10","Hlavní město Praha","útulek pro zájmová zvířata","ptáci 50, plazi 15, kočka 200, králíci a hlodavci 20, prasata 20, pes 30, fretka 6","50°3'25.80""N,14°32'57.68""E","04.01.2018"
"CZ 11C00218","Opuštěná a léčebná zvířata, o.p.s.","Bohnice, 18100 Praha 8","Hlavní město Praha","útulek pro zájmová zvířata","fretka 1, kočka 100, pes 3, králíci a hlodavci 3","50°8'9.95""N,14°24'56.06""E","04.01.2018"
"CZ 11C00207","Sdružení na ochranu zvířat v krajní nouzi z.s.","Na pláni 2006/31, Smíchov, 15000 Praha 5","Hlavní město Praha","útulek pro zájmová zvířata","kočka 20","50°3'46.313""N,14°23'45.142""E","04.01.2018"
"CZ 11711753","Útulek pro opuštěná zvířata Městské policie hl. m. Prahy","V Zámcích 321/24, Bohnice, 18100 Praha 8","Hlavní město Praha","útulek pro zájmová zvířata","ovce a kozy 7, ptáci 20, pes 180, skot 2, plazi 10, koně 2, králíci a hlodavci 6, jiné 20, prasata 2","50°8'11.799""N,14°23'41.937""E","04.01.2018"
